herd,year,population_estimate,harvest,management_cost_usd,recreation_value_per_elk_usd,damage_cost_per_elk_usd
Jackson,2019,11200,1680,1800000,410,58
Jackson,2020,10950,1715,1850000,425,61
Jackson,2021,10780,1750,1910000,438,63
Jackson,2022,10640,1690,1970000,454,66
Jackson,2023,10520,1655,2040000,471,68
Cody,2019,9400,1220,1520000,362,52
Cody,2020,9280,1245,1560000,373,54
Cody,2021,9170,1270,1610000,384,56
Cody,2022,9090,1210,1660000,397,58
Cody,2023,9010,1185,1720000,411,60
Bighorn,2019,7600,980,1210000,330,46
Bighorn,2020,7480,1005,1240000,340,48
Bighorn,2021,7390,1020,1280000,351,49
Bighorn,2022,7315,995,1320000,362,51
Bighorn,2023,7240,970,1370000,375,53
SnowyRange,2019,5900,710,950000,304,44
SnowyRange,2020,5820,730,980000,313,45
SnowyRange,2021,5750,745,1015000,323,46
SnowyRange,2022,5690,720,1050000,333,48
SnowyRange,2023,5630,700,1088000,344,49
